Estado,Ano,Mês,Precipitação Total (mm),Pressão atmosférica média (mB),Radiação global média (Kj/m²),Temperatura média do ar (°C),Temperatura máxima (°C),Temperatura mínima (°C),Umidade relativa média (%),Velocidade média do vento (m/s)
DF,2020,6,0.0,898.7189444444444,1438.6494444444445,19.40361111111111,29.4,6.7,66.455,2.165611111111111
DF,2020,7,0.0,898.4885184189297,1583.5835572272972,19.31621403603119,29.4,6.2,55.96827104060231,2.354154342565206
DF,2020,8,0.0,897.960254284135,1700.0367412140574,20.714676616915423,33.2,6.5,50.049820094104625,2.742592592592593
DF,2020,9,158.4,897.019932998325,1857.8812364425162,23.58682300390843,35.6,9.9,41.288336628071164,2.569849246231156
DF,2020,10,777.8,894.8908815426997,1416.568281938326,23.946280991735538,37.8,11.0,60.181102362204726,2.2707310344827585
DF,2020,11,874.4,894.729678154372,1439.9818961410194,21.984591284534318,31.6,13.1,74.49271636675236,2.1933485583785326
DF,2020,12,1089.8,894.5785281146638,1504.8361111111112,22.62494487320838,32.9,12.8,72.0440931780366,1.8328176795580111
DF,2021,1,778.2,894.5202542372882,1643.2844356041771,22.406523580909347,32.4,12.4,72.22465831435079,1.8690328054298642
DF,2021,2,2640.4,894.0646274984857,1279.316612729234,21.24130829800121,32.1,14.8,84.16100667070953,1.7986642380085003
DF,2021,3,539.2,895.2975874220656,1533.91072319202,21.893900786120902,32.4,11.2,72.67483660130719,1.8711303876389267
DF,2021,4,497.8,895.7630452903585,1424.0158469945354,21.06860238955265,31.7,8.8,73.1364522417154,1.8615063924402446
GO,2001,5,0.4,933.2192307692308,1624.3095238095239,21.773076923076925,30.7,15.5,74.78461538461538,1.3757575757575757
GO,2001,6,2.0,934.3337771548704,1389.6943661971832,19.462789067974775,30.5,5.4,69.29992992291521,1.5510161177295025
GO,2001,7,0.0,934.1161849710983,1414.2016666666666,20.12502064409579,33.6,8.2,60.328654004954586,1.6216350123864574
GO,2001,8,38.2,934.9385014836796,1667.6875,21.51259314456036,39.6,9.6,50.89046199701937,2.431865671641791
GO,2001,9,251.4,931.0206790123457,1551.304804804805,23.681404320987653,36.2,8.7,55.6820987654321,2.0135802469135804
GO,2001,10,259.2,930.02003257329,1387.655223880597,23.094299674267102,34.5,14.5,71.95276872964169,1.819869706840391
GO,2001,11,371.8,929.106479859895,1326.5431164901663,23.39851007887818,32.8,17.8,78.72743207712533,1.4633099824868652
GO,2001,12,441.2,928.6725392296719,1293.9299754299755,23.54243937232525,34.5,15.9,77.79172610556348,1.6509985734664763
GO,2002,1,353.4,928.455805580558,1535.9130434782608,23.975967596759677,34.4,16.9,77.04410441044105,1.7391539153915392
GO,2002,2,510.0,930.1006446414182,1392.7276785714287,23.342546333601934,32.6,16.6,80.05560032232071,1.434327155519742
GO,2002,3,272.4,931.2620491803278,1635.17921686747,24.196726677577743,33.2,16.4,71.96481178396073,1.4717444717444716
GO,2002,4,48.2,930.6238396624473,1685.254397834912,23.83016877637131,32.5,14.3,66.80942334739802,1.5355836849507736
GO,2002,5,7.8,931.9860733695652,1455.3297297297297,21.945652173913043,33.5,9.2,66.67663043478261,1.475475543478261
GO,2002,6,0.0,934.495111111111,1376.361607142857,20.549630177514793,31.3,10.1,58.77440828402367,1.5005917159763313
GO,2002,7,5.4,933.9536731634182,1349.7955882352942,21.400299401197604,32.8,8.9,55.31362275449102,1.7009730538922156
GO,2002,8,12.8,933.147304964539,1580.9453781512605,23.70602409638554,35.2,11.6,44.48901488306166,2.1242381289865344
GO,2002,9,96.4,931.6966666666666,1521.6074895977808,23.554335260115607,34.7,4.5,53.195809248554916,2.027456647398844
GO,2002,10,80.39999999999999,929.1156033820138,1664.3596127247579,26.676249039200616,37.6,16.8,48.26902382782475,1.6634127594158339
GO,2002,11,214.2,929.8663410969197,1341.7882352941176,24.26868913857678,34.8,18.2,71.87041198501872,1.4508614232209738
GO,2002,12,477.6,929.5278085991679,1423.6912991656734,24.420622837370246,36.2,18.7,75.18269896193772,1.35840830449827
GO,2003,1,567.2,929.8930962343096,1447.6393034825871,23.761811846689895,33.9,19.2,80.22020905923345,1.6587456445993032
GO,2003,2,486.2,930.892469879518,1694.3820689655172,24.058633633633633,33.8,16.9,75.56006006006007,1.3823573573573573
