Estado,Precipitacao Total,Pressao atmosferica media,Radiacao global media,Temperatura media do ar,Temperatura maxima,Temperatura minima,Umidade relativa media,Velocidade media do vento,Data
GO,96.2,932.153023909986,1366.8659517426274,23.103511235955057,32.9,15.2,76.80337078651685,1.1110955056179777,2004-04
GO,16.6,933.6331491712708,1232.7490774907749,21.93547794117647,32.5,14.1,75.43382352941177,1.3595588235294118,2004-05
GO,0.8,936.4284660766962,1363.615835777126,19.64749262536873,30.7,8.2,66.00147492625369,1.3348082595870203,2004-06
GO,2.8,935.1152909336942,1415.6577540106953,19.94952766531713,30.9,6.7,60.24156545209177,1.7975708502024292,2004-07
GO,0.0,935.2478911564624,1683.5,22.131207598371777,35.4,9.9,45.06377204884667,1.8442333785617369,2004-08
GO,8.2,932.5525069637882,1812.029490616622,26.193454038997217,37.0,11.3,34.76846590909091,1.957660167130919,2004-09
GO,122.0,930.916643550624,1474.882063882064,25.40776699029126,37.1,15.4,60.98613037447989,1.5883495145631068,2004-10
GO,81.0,930.5068796068796,1413.8978723404257,24.390196078431373,33.6,19.0,72.0906862745098,1.3799019607843137,2004-11
GO,240.6,930.5557939914164,1328.4243902439025,23.57997138769672,33.8,18.6,78.10586552217454,1.072818311874106,2004-12
GO,192.0,929.7228043143296,1352.2956989247311,24.04375963020031,33.4,19.2,79.43143297380585,0.9907550077041604,2005-01
GO,37.6,930.4941666666668,1468.953125,23.521666666666665,32.5,18.7,79.40833333333333,1.0158333333333334,2005-02
GO,471.4,931.5674137931034,1362.312865497076,24.05352839931153,32.7,18.2,79.41996557659208,0.9335628227194492,2005-03
GO,55.8,932.6780320366132,1425.7877551020408,24.325400457665907,32.6,17.1,73.09382151029749,1.1219679633867277,2005-04
GO,27.0,933.5243902439024,1475.891304347826,21.588211382113823,31.3,12.3,69.08265582655827,1.376829268292683,2005-05
GO,4.0,934.66865497076,1337.814385150812,20.6303738317757,37.9,8.8,66.05023364485982,1.456374269005848,2005-06
GO,0.0,935.2036339165546,1406.2892156862745,20.33728129205922,32.2,6.9,58.815612382234185,1.7946164199192465,2005-07
GO,15.8,933.438239247312,1578.7754010695187,22.57157258064516,35.9,8.1,48.04099462365591,1.9411290322580643,2005-08
GO,42.0,931.6884615384616,1495.4417952314166,25.4238603988604,35.6,14.3,55.732193732193736,2.1307692307692307,2005-09
GO,196.4,929.7447076239824,1630.6344086021506,26.628053293856404,37.6,16.2,60.23760177646188,1.806069578090304,2005-10
GO,551.8,927.897277486911,1049.0503144654087,24.437068062827223,32.7,18.2,77.63664921465968,1.4675392670157068,2005-11
GO,836.8,928.4363391655452,1089.0059931506848,24.373238482384824,45.0,17.5,77.85733512786003,1.5618438761776583,2005-12
GO,322.8,929.7595543551654,1376.0616016427105,24.09020931802836,35.0,16.4,71.51586765698852,1.585955435516543,2006-01
GO,305.6,929.3214937759336,1302.288409703504,23.973609958506223,32.0,17.5,77.1312292358804,1.4454771784232363,2006-02
GO,653.8,929.7202956989248,1045.2242366412213,23.771236559139783,32.6,18.5,79.78360215053763,1.3171370967741935,2006-03
GO,273.2,930.211515601783,1179.64209274673,23.517682020802376,32.0,13.9,75.53863298662705,1.28,2006-04
GO,17.6,933.212479201331,1434.192748091603,21.111647254575708,32.1,8.2,68.51580698835275,1.0638358778625956,2006-05
GO,1.6,934.5498609179416,1362.4763888888888,21.2374826147427,30.6,7.9,64.68150208623088,1.3882475660639777,2006-06
GO,4.2,939.9178818520488,1445.3373101952277,21.92634379989356,35.2,8.0,56.07663650878127,1.8369345396487493,2006-07
GO,31.0,941.5815848716794,1578.952846975089,24.036650157586674,36.4,7.8,50.17607223476298,2.239036470058532,2006-08
GO,148.6,940.7193218764514,1495.692776327241,24.42740362285184,37.4,8.7,56.52810032512773,2.265675801207617,2006-09
GO,685.8,934.7501815248085,1346.576379066478,24.33089955627269,36.4,16.1,74.0242033077854,1.9875756353368288,2006-10
GO,686.4,928.4485484435116,1418.5607311320755,23.74137810423225,36.2,14.2,73.41587967820917,2.110143406785589,2006-11
GO,1172.2,928.7468107725018,1225.7975848188614,23.63706591070163,32.9,17.6,79.9401133947555,2.041389085754784,2006-12
GO,1428.6,929.3644932432431,1275.2545031958164,23.79422297297297,34.1,17.6,81.15405405405406,1.8516554054054053,2007-01
GO,927.2,933.309300184162,1366.4276041666667,23.810558624923267,34.5,16.2,80.96587765139871,1.837476979742173,2007-02
GO,389.4,934.5290348742903,1728.5827123695976,24.454825628548253,34.6,14.8,69.87672343876723,1.921086780210868,2007-03
GO,364.2,934.0461798336798,1554.8905146316852,24.18370582120582,35.8,15.2,69.65098752598753,1.7493503118503118,2007-04
GO,166.0,933.2696361105588,1489.0675622283682,21.847345396699147,34.4,6.2,62.69377609862796,2.017339431298469,2007-05
GO,4.8,932.3278031330948,1515.776699029126,21.393450104847663,33.3,7.5,56.77722955470581,1.9239422721105213,2007-06
GO,102.6,934.5296173578452,1482.0657810156415,22.00010688328345,36.1,4.5,53.3324070115434,2.0373917691074293,2007-07
GO,1.0,936.895720875454,1700.752008970286,23.17765237020316,38.0,8.3,41.35077043870841,2.548463728281143,2007-08
GO,34.8,935.8127601258756,1752.133672699849,26.260866917064256,40.9,10.6,35.97354766507274,2.600162420058877,2007-09
GO,1002.6,932.7770126917976,1530.27257326783,26.54380564500853,40.4,13.6,50.96732335669635,2.12126752557787,2007-10
GO,2102.0,931.7714168546238,1419.634762497776,24.71509433962264,38.1,9.6,70.69952810832991,1.961756257693886,2007-11
GO,3929.8,931.8715354938272,1466.5781769793746,23.902292374189564,36.7,1.6,75.50399441557434,1.845185185185185,2007-12
GO,5477.2,930.5264637702834,1412.888888888889,23.363934793987887,36.1,13.9,79.13981238273921,1.8533687280340985,2008-01
GO,5314.4,930.4088140780412,1393.3672944045522,23.175871272782736,34.8,15.1,81.19342196265274,1.6069396781819567,2008-02
GO,4217.2,930.2932175622542,1414.9065214394043,23.083919285991463,34.0,15.2,80.98018102372035,1.5707101280558788,2008-03
GO,3192.4,930.2914807748754,1396.5726790450929,23.31940340117089,34.8,13.9,78.61220864127345,1.4287426819068858,2008-04
GO,277.6,933.2615608578328,1429.30648619673,21.489338932538605,36.6,-5.7,68.24974341430038,1.4821720067453623,2008-05
GO,13.2,933.918122634368,1403.2303779069769,21.27428529541123,33.4,-6.9,62.3347044814895,1.6487796123474516,2008-06
GO,5.6000000000000005,934.1457308584688,1541.65752409192,20.80096409322098,36.6,5.9,49.24837270533168,1.943469357905514,2008-07
GO,23.4,930.8395583138552,1664.5479801772035,23.424592615917497,37.3,-8.7,42.58824423998175,2.1268420652421867,2008-08
GO,607.6,930.5333763510243,1663.0738636363635,24.8833241693504,40.4,-8.9,45.91939431018661,2.076808721506442,2008-09
GO,1563.4,930.6233725432892,1583.1497919556173,26.04945982685841,41.4,-8.7,54.75866147210241,2.178059598059598,2008-10
GO,4071.4,929.0881309786608,1362.5022746833886,24.10904370402423,41.3,-6.9,73.01005819383576,1.8486767216846896,2008-11
GO,4750.6,929.5256921824104,1360.8302570093458,23.534800624957544,35.9,1.5,78.54675624321389,1.8662232779097387,2008-12
GO,4173.2,930.8473083654184,1546.7062359128474,23.86390199253679,37.1,-4.7,77.55435771788589,1.725576623744163,2009-01
GO,3392.4,933.7421235425452,1556.6042893822685,24.10291464840488,38.4,-8.8,78.24749855288184,1.5836536868268434,2009-02
GO,3054.2,932.3604458458606,1519.8596229485963,24.29129719626168,38.3,-9.6,76.85392681674855,1.43277354062775,2009-03
GO,2201.6,932.0894925416789,1400.7084808155175,22.973454815916696,33.8,-7.0,77.06171395144779,1.3595568879789413,2009-04
GO,446.6,933.2289010278156,1368.7259608515503,22.186233496513868,34.9,4.2,71.58266867859453,1.4745347416828338,2009-05
GO,300.6,934.1121292172994,1337.9403933434191,20.697494150501925,34.0,2.5,67.61340478526681,1.4526907691146502,2009-06
GO,35.0,933.64002944424,1499.4407603890363,22.22310636731689,36.0,8.3,55.8145012881855,1.5960765550239235,2009-07
